Support,CB,Titre,Auteur,Localisation,Cote,Statut,"Année acquisition","Année publication","Nb prêts année","Nb réservations année","Nb prêts totaux"
PE,C2100008411,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",0,2016,2008,7,0,7
PE,C2200004351,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2016,1998,6,0,6
PE,C2200004536,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,7,0,8
PE,C3200004546,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2016,2013,0,0,
PE,C3200004705,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,6,0,6
PE,C3200004771,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2016,1993,7,0,7
PE,C3200004800,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage ",0,2016,2009,7,0,7
PE,C3200004790,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED3A,"P 31478 1°Prêt 3e étage",0,2016,1999,9,0,9
PE,C1300003167,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,7,0,7
PE,C1300003156,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2016,1998,7,0,7
LI,C2100008970,"Internet rend-il bête ?","Nicholas Carr",MED3A,"Doc./002 ENJ",0,2016,2011,2,1,2
PE,C3200005113,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",0,2016,2008,6,0,6
PE,C3200005128,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,5,0,5
