Thématique,Titre,"Numéro notice bib","1er destination","2e destination","empruntable ?",infos,Périodicité,"prix de l'abt","Nb prêts",Emprunteurs,"Prêts ex dist",Ex
"Fonds parentalité",Peps,289201,"prêt jeunesse / FP",,oui,nouveau,trimestriel,32,31,22,5,3
"Fonds parentalité","Ecole des parents",154888,"prêt jeunesse / FP",,oui,"nouveau ",trimestriel,49,14,11,5,4
"Fonds parentalité","Grandir autrement",265201,"prêt jeunesse / FP",,oui,,bimestriel,30,77,37,19,6
"Fonds parentalité","Journal des professionnels de l'enfance",157736,"prêt jeunesse / FP",,oui,,bimestriel,45,33,23,15,6
"Fonds parentalité",Parenth(èse),277578,"prêt jeunesse / FP",,oui,"Nouveau ",trimestriel,16,34,22,13,5
"Fonds parentalité",Parents,154693,"RDC / Espace presse","prêt jeunesse / FP",oui,,mensuel,24,107,46,39,22
"Géographie/ Voyages","Détours en France",157639,"RDC / Espace presse","prêt 1er étage / Géo",oui,,mensuel,35,75,39,17,7
"Géographie/ Voyages",Géo,154824,"RDC / Espace presse","prêt 1er étage / Géo",oui,,mensuel,55,229,114,46,24
"Géographie/ Voyages","Globe-trotters magazine",180380,"RDC / Espace presse","prêt 1er étage / Géo",oui,,bimestriel,32,56,30,16,5
"Géographie/ Voyages","National Géographic France ",156673,"RDC / Espace presse","prêt 1er étage / Géo",oui,,mensuel,48,134,58,33,13
"Géographie/ Voyages","Randos balades",180040,"prêt 1er étage / Géo",,oui,,bimestriel,29,81,39,14,6
"Géographie/ Voyages","Terre sauvage ",157963,"RDC / Espace presse","prêt 1er étage / Géo",oui,,mensuel,55,97,42,25,10
Histoire,"Annales histoire et sciences sociales",154789,Etude,magasin,non,,trimestriel,146,0,0,0,0
Histoire,Archéologia,154605,Etude,"prêt 3e / Sc. Humaines",oui,,mensuel,67,37,15,13,11
Histoire,Histoire,154652,Etude,magasin,non,,mensuel,67,0,0,0,0
Histoire,Historia,154653,Etude,magasin,non,,mensuel,30,65,30,21,11
Histoire,Historia,154653,"RDC / Espace presse","prêt 3e / Sc. Humaines",oui,,mensuel,30,65,30,21,11
Histoire,"Mouvement social",154677,Etude,magasin,non,,trimestriel,68,0,0,0,0
Histoire,"Revue française de généalogie et d'histoire des familles ",180035,"RDC / Espace presse","prêt 3e / Sc. Humaines",oui,,bimestriel,42,31,9,17,10
Histoire,"Revue historique",154720,Etude,magasin,non,,trimestriel,107,0,0,0,0
Histoire,"Secrets d'histoire",290680,"prêt 3e / Sc. Humaines",,oui,"nouveau ",trimestriel,15,25,12,6,6
Informatique,01.net,259389,"RDC / Espace presse","prêt 3e étage / Informatique",oui,"ancien micro hebdo",bimensuel,59,124,40,34,22
Informatique,"Canard PC Hardware",275980,"prêt 3e étage / Informatique",,oui,"nouveau ",trimestriel,22,26,18,7,4
Informatique,"Compétence Mac",261567,"RDC / Espace presse","prêt 3e étage / Informatique",oui,,bimestriel,48,63,27,15,7
Informatique,"Freelog ",212113,"RDC / Espace presse","prêt 3e étage / Informatique",oui,,bimestriel,33,33,15,9,6
Informatique,"Hackable magazine",293581,"RDC / Espace presse","prêt 3e étage / Informatique",oui,"nouveau ",bimestriel,39,10,7,4,5
Informatique,"Linux magazine",275283,"RDC / Espace presse","prêt 3e étage / Informatique",oui,,bimestriel,182,70,21,20,11
Informatique,"Linux magazine. Hors-série",275284,"prêt 3e étage / Informatique",,oui,"abt avec linux magazine",bimestriel,0,120,48,21,9
