code-barres,"date création exemplaire","date dernier retour exemplaire","nb prêts","code collection",lib1,lib2,lib3,lib4
C0003178242,2005-03-24,2015-11,99,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003181300,2005-03-24,,37,J11,Jeunesse,Documentaires,,
C0005197878,2011-12-17,2016-06,68,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005448326,2011-12-17,2015-02,44,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003177783,2005-03-24,2014-08,20,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005171822,2011-01-18,,23,J05,Jeunesse,Albums,"Albums Petits enfants",
C0005171830,2011-01-18,2016-05,35,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005334797,2011-11-22,2015-06,37,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003185778,2005-03-24,2015-05,44,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003182657,2006-03-18,2016-05,49,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0003186910,2005-03-24,2015-04,28,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003186693,2005-03-24,2015-12,50,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003217363,2005-03-24,2015-11,64,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004579158,2008-04-19,2015-04,60,JDT60ZZ,Jeunesse,Documentaires,"Santé / Cuisine / Jeux et sports (enfants)",
C0004470126,2007-05-26,,73,J09,Jeunesse,BD,,
C0004671332,2008-02-05,2016-03,16,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005207217,2011-09-29,2014-09,15,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003216430,2005-03-24,2015-01,26,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0004938611,2009-09-25,2014-08,60,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004941185,2009-10-16,,61,J09,Jeunesse,BD,,
C0004195213,2007-04-14,,86,J09,Jeunesse,BD,,
C0003490377,2005-03-24,2015-05,111,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003222910,2005-03-24,2016-03,46,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003872511,2005-03-24,,56,J11,Jeunesse,Documentaires,,
C0004049519,2005-03-24,,15,J053,Jeunesse,Albums,"Albums Petits enfants",
C0003222499,2005-03-24,2014-10,134,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003098727,2005-03-24,2016-08,81,JABPFCO,Jeunesse,Albums,Comptines,
C0003223932,2005-03-24,2016-04,29,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003265942,2005-03-24,2015-02,67,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0005318220,2011-02-23,,36,J09,Jeunesse,BD,,
